id;name;Aadress;X;y
12443;Kaarma Põhikool;Saare maakond, Kaarma vald, Nõmme küla 1;414039;6469143
12248;Kabala Kool-Lasteaed;Järva maakond, Türi vald, Kabala küla, Pargi tn 2;594481;6506957
12247;Kabala Lasteaed;Järva maakond, Türi vald, Kabala küla, Pargi tn 1;594719.9234;6507014.953
12587;Kabala Lasteaed-Põhikool;Rapla maakond, Raikküla vald, Tamme küla, Kabala kooli;537604;6531680
12409;Kabli Lasteaed;Pärnu maakond, Häädemeeste vald, Kabli küla, Mäe;526564.881;6429806.677
12055;Kadrina Keskkool;Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Rakvere tee 4;621333;6580243
12067;Kadrina Lasteaed Sipsik;Lääne-Viru maakond, Kadrina vald, Kadrina alevik, Pargi tn 5;621499.9596;6580016.946
12735;Kadrioru Lasteaed;Harju maakond, Tallinna linn, Kesklinna linnaosa, Lydia Koidula tn 20a;544341.9963;6589101.956
12732;Kadrioru Saksa Gümnaasium;Harju maakond, Tallinna linn, Kesklinna linnaosa, Gonsiori tn 38;544105;6588589
12392;Kaelase Kool;Pärnu maakond, Halinga vald, Aasa küla, Kaelase kool;529892;6505205
12481;Kahtla Lasteaed-Põhikool;Saare maakond, Laimjala vald, Kahtla küla, Kahtla koolimaja;441427;6474132
12625;Kaido Külaotsa Malekool;Harju maakond, Tallinna linn, Mustamäe linnaosa, Juhan Sütiste tee 36;539207.0693;6584445.005
12687;Kaitseliidu Järva maleva Lõõla õppekeskus;Järva maakond, Väätsa vald, Lõõla küla, Lõõla koolimaja;580236;6534153
12565;Kaiu Lasteaed Triinutare;Rapla maakond, Kaiu vald, Kaiu alevik, Kasvandu tee 10;560338.6196;6542112.558
12566;Kaiu Põhikool;Rapla maakond, Kaiu vald, Kaiu alevik, Kasvandu tee 10;560409;6542167
13135;Kajamaa Kool;Harju maakond, Saku vald, Kajamaa küla, Kajamaa kool;540982;6570986
12949;Kalamaja Lasteaed;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Vana-Kalamaja tn 28a;541964.0349;6590062.045
12951;Kalamaja Põhikool;Harju maakond, Tallinna linn, Põhja-Tallinna linnaosa, Vabriku tn 18;541328;6589774
13287;Kallaste Keskkool;Tartu maakond, Kallaste linn, Oja tn 28;683383;6507056
13288;Kallaste Lasteaed Vikerkaar;Tartu maakond, Kallaste linn, Sõpruse tn 4;683133.979;6507362.015
